iter	Logloss
0	0.6199166173
1	0.5598270069
2	0.5102027935
3	0.4687736196
4	0.433843624
5	0.4036358671
6	0.3773881434
7	0.3550372433
8	0.3353505867
9	0.3183961508
10	0.3040933784
11	0.2915504212
12	0.2806506414
13	0.2705430971
14	0.2620138195
15	0.2546302005
16	0.2481090868
17	0.24274217
18	0.2375837721
19	0.2334888431
20	0.2299299379
21	0.2263709505
22	0.2231124107
23	0.2207221831
24	0.2184115794
25	0.216354796
26	0.214575727
27	0.2128315844
28	0.2116108042
29	0.210473669
30	0.2093798821
31	0.2081761131
32	0.2071254917
33	0.2062491941
34	0.2051936989
35	0.2044076995
36	0.2040236522
37	0.2034754098
38	0.2029297691
39	0.2025968248
40	0.2021304088
41	0.2016758799
42	0.2009713231
43	0.200358225
44	0.2000565959
45	0.1996906908
46	0.1994608648
47	0.1991950483
48	0.1989112984
49	0.1986130278
50	0.1982503764
51	0.1980549331
52	0.1978458702
53	0.1975163307
54	0.1972318724
55	0.1969298856
56	0.1967519969
57	0.1966033128
58	0.1964476984
59	0.1963152687
60	0.1961543504
61	0.1960127854
62	0.1959014422
63	0.1955685567
64	0.1951510879
65	0.1951185577
66	0.1949985273
67	0.1946870928
68	0.1942657998
69	0.1941968197
70	0.1940286885
71	0.1937041386
72	0.1933465163
73	0.1928053283
74	0.1926947792
75	0.1925076597
76	0.1922980344
77	0.1917444977
78	0.1916564434
79	0.1914319916
80	0.1911878797
81	0.1910457601
82	0.1908013231
83	0.1905539378
84	0.1904224079
85	0.1902092544
86	0.1900866358
87	0.1899764248
88	0.1899480507
89	0.1898185086
90	0.1897147045
91	0.1896092519
92	0.1895302546
93	0.1894367644
94	0.1893673376
95	0.1891484157
96	0.1889728439
97	0.188830708
98	0.1887594611
99	0.1886629989
100	0.1885839692
101	0.1884219852
102	0.1883081414
103	0.1881830705
104	0.187885397
105	0.1878096873
106	0.1876871926
107	0.1874773662
108	0.1873749349
109	0.1873020728
110	0.1872566624
111	0.1871107294
112	0.1870591994
113	0.1869662156
114	0.186863839
115	0.1867817984
116	0.1867042138
117	0.1866579857
118	0.1866103926
119	0.1865673639
120	0.1864925309
121	0.1864509488
122	0.186362663
123	0.1863020946
124	0.1861328889
125	0.1858714213
126	0.1856142966
127	0.1853763947
128	0.1851642875
129	0.1849483033
130	0.184716761
131	0.1842904194
132	0.1841595719
133	0.1839675004
134	0.1838812342
135	0.1837734138
136	0.1836901425
137	0.1835463437
138	0.1834121815
139	0.1833199975
140	0.1831127066
141	0.1829964777
142	0.1829225165
143	0.1825500833
144	0.1824779863
145	0.1823555773
146	0.1822854492
147	0.1820943286
148	0.1820184802
149	0.1816145742
